Job Title,Company Name,Location,Job Time,Category,Salary,Post Date,Deadline,Job URL,Company Logo URL
Satış Meneceri (Ofis daxili),Məlumat Mərkəzi,"Bakı, Şamil Əzizbəyov 140",Tam-ştat,Menecer,500 AZN,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/satis-meneceri-ofis-daxili,
Satıcı,So White Bridal,"Bakı, Üzeyir Hacibeyli 37/43, Baku, Azerbaijan.",Tam-ştat,Digər,600 AZN,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/satici-905033,
Fotoqraf və videoqraf,Azena Dental Consulting,"Bakı, Əmrahlı iş mərkəzi, 116A Nasibbay Yusifbaylia",Tam-ştat,Digər,800 - 1000 AZN,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/fotoqraf-ve-videoqraf-905031,https://www.hellojob.az/resized/companies/1ad583a462635273d2c1d3a72701b565-120--resize.webp
Satış üzrə məsləhətçi,ITALDIZAIN,Bakı,Tam-ştat,Satış üzrə mütəxəssis,650 - 720 AZN,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/satis-uzre-meslehetci-905030,https://www.hellojob.az/resized/companies/f5653c9891406449cbcf85d295033dec-120--resize.webp
Dizayner,Link Wordwide,Bakı,Tam-ştat,Marketinq menecment,1000 - 1500 AZN,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/dizayner-905025,
TƏCRÜBƏLİ Tur Menecer,Rose Travel,Bakı,Tam-ştat,Turizm və mehmanxana işi,800 - 1000 AZN,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/tecrubeli-tur-menecer,
HR / İnsan resursları Mütəxəssisi,Sigma LLC,Bakı,Uzaqdan,İnsan resursları,Razılaşma ilə,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/hr-insan-resurslari-mutexessisi,
Korporativ satış üzrə Mütəxəssis,Azcosmetics MMC,"Bakı, Nəriman Nərimanov",Tam-ştat,Satış üzrə mütəxəssis,800 - 1000 AZN,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/korporativ-satis-uzre-mutexessis-905022,https://www.hellojob.az/resized/companies/fc8fbb092b9303fddb01c59bc6965cb0-120--resize.webp
Satış mütəxəssisi,ELECTROCOMP MMC,"Bakı, Bülbül pr 58H",Tam-ştat,Digər,500 AZN,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/satis-mutexessisi-905023,
Xaricdə təhsil mütəxəssisi assistenti (personal assistant),Edumax,Bakı,Tam-ştat,Təhsil və elm,Razılaşma ilə,07 aprel 2025,07 may 2025,https://www.hellojob.az/vakansiya/xaricde-tehsil-mutexessisi-assistenti-personal-assistant,https://www.hellojob.az/resized/companies/a9a5f72308f4c46938c0ce45d1c8cfab-120--resize.webp
Satış mütəxəssisi,Wraym,"Bakı, N.Nərimanov ray, Əliyar Əliyev küç. 206 (Azinko yaşayış kompleksinin yanı, N.Nərimanov metrosu yaxınlığı)",Tam-ştat,Satış üzrə mütəxəssis,600 - 1500 AZN,31 mart 2025,30 aprel 2025,https://www.hellojob.az/vakansiya/satis-mutexessisi-904962,https://www.hellojob.az/resized/companies/c6aef7ad7fd65e93e947028bdc3f04ac-120--resize.webp
Satış mütəxəssisi,Wraym,"Bakı, N.Nərimanov ray, Əliyar Əliyev küç. 206 (Azinko yaşayış kompleksinin yanı, N.Nərimanov metrosu yaxınlığı)",Tam-ştat,Satış üzrə mütəxəssis,700 - 1500 AZN,31 mart 2025,30 aprel 2025,https://www.hellojob.az/vakansiya/satis-mutexessisi-904963,https://www.hellojob.az/resized/companies/c6aef7ad7fd65e93e947028bdc3f04ac-120--resize.webp
Arxiv işi üzrə mütəxəssis,Global Group MMC,"Bakı, Gənclik",Tam-ştat,Digər,600 AZN,05 aprel 2025,06 may 2025,https://www.hellojob.az/vakansiya/arxiv-isi-uzre-mutexessis-905009,
English Teacher,Hiss Academy,"Bakı, Sabunçu,Yeni Ramana",Tam-ştat,Məktəb tədrisi,Razılaşma ilə,05 aprel 2025,06 may 2025,https://www.hellojob.az/vakansiya/english-teacher-905010,
Satiş üzrə agent ( Promouter ),My Tour Baku,"Bakı, Kichik Gala 82",Tam-ştat,Turizm və mehmanxana işi,400 - 1400 AZN,06 aprel 2025,06 may 2025,https://www.hellojob.az/vakansiya/satis-uzre-agent-promouter,https://www.hellojob.az/resized/companies/0be2bdb177ecd4c72549fc1c5a82e909-120--resize.webp
Satış məsləhətçisi,iCare+,"Bakı, koroglu metro cixisi Haydar Aliyev pr 172 Bravo hipermarketin daxili",Tam-ştat,Satış üzrə mütəxəssis,400 - 700 AZN,06 aprel 2025,06 may 2025,https://www.hellojob.az/vakansiya/satis-meslehetcisi-905015,
Satış məsləhətçisi,Stimul Work Center,Bakı,Tam-ştat,Satış üzrə mütəxəssis,700 - 1000 AZN,05 aprel 2025,06 may 2025,https://www.hellojob.az/vakansiya/satis-meslehetcisi-905008,https://www.hellojob.az/resized/companies/8f4207b61a1d60b4843683f2fcc4ce0c-120--resize.webp
Xüsusi müştərilər üzrə mütəxəssis,Sığortalı.az,"Bakı, Badamdar şossesi 42",Tam-ştat,Sığorta,500 - 600 AZN,05 aprel 2025,05 may 2025,https://www.hellojob.az/vakansiya/xususi-musteriler-uzre-mutexessis,https://www.hellojob.az/resized/companies/1bae41759327df71f0b24095598f916f-120--resize.webp
Direktor assistenti,İdeal Kredit,Bakı,Tam-ştat,Katibə / Resepşn,Razılaşma ilə,04 aprel 2025,04 may 2025,https://www.hellojob.az/vakansiya/direktor-assistenti-905006,
Anbardar,Ecarparts.az,"Bakı, Məhəmməd Xiyabani 192 G",Tam-ştat,Anbardar,500 AZN,04 aprel 2025,04 may 2025,https://www.hellojob.az/vakansiya/anbardar-905005,
Aparıcı mütəxəssis,TAB MMC,"Bakı, Bakı şəh. Nizami ray. Qara Qarayev pr. 102 A",Tam-ştat,Mühasibat,500 - 600 AZN,04 aprel 2025,04 may 2025,https://www.hellojob.az/vakansiya/aparici-mutexessis-905003,
Köməkçi Müəllim,ChildnLife,Bakı,Tam-ştat,Təhsil və elm,Razılaşma ilə,04 aprel 2025,04 may 2025,https://www.hellojob.az/vakansiya/komekci-muellim,
Kosmetoloq,Ayru Estetik Mərkəzi,Bakı,Tam-ştat,Xidmət,500 - 1000 AZN,04 aprel 2025,04 may 2025,https://www.hellojob.az/vakansiya/kosmetoloq,
Ofisiant,MOC roastery,Bakı,Tam-ştat,Ofisiant,700 AZN,04 aprel 2025,04 may 2025,https://www.hellojob.az/vakansiya/ferid-ceferov,
Sosial Media Marketinq (SMM) mütəxəssisi,Xırdalan Tədris Mərkəzi,"Xırdalan, Mehdi Hüseynzadə 31A",Tam-ştat,Digər,Razılaşma ilə,04 aprel 2025,04 may 2025,https://www.hellojob.az/vakansiya/sosial-media-marketinq-smm-mutexessisi-904995,https://www.hellojob.az/assets/images/blank-image.svg
Call-center operator,VEN GROUP MMC,"Bakı, Rəşid Bağırov 33",Tam-ştat,Operator,400 - 800 AZN,04 aprel 2025,04 may 2025,https://www.hellojob.az/vakansiya/call-center-operator-904996,
Daxili nəzarət üzrə mütəxəssis,Berg Energy MMC,"Bakı, Sulutəpə",Tam-ştat,Digər,600 AZN,04 aprel 2025,04 may 2025,https://www.hellojob.az/vakansiya/daxili-nezaret-uzre-mutexessis-904994,
Diş texniki,Digital Diagnostics World,"Bakı, Nərimanov rayonu",Tam-ştat,Digər,Razılaşma ilə,04 aprel 2025,04 may 2025,https://www.hellojob.az/vakansiya/cinara-qasimova,
