Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
61,"MS Alam, MM Rahman, MA Hossain, MK Islam…",Automatic human brain tumor detection in MRI image using template-based K means and improved fuzzy C means clustering algorithm,174,2019, mdpi.com, Big Data and Cognitive …,https://www.mdpi.com/2504-2289/3/2/27,25
2,"M EtehadTavakol, S Sadri, EYK Ng",Application of K-and fuzzy c-means for color segmentation of thermal infrared breast images,168,2010, Springer, Journal of medical systems,https://link.springer.com/article/10.1007/s10916-008-9213-1,10
63,"CC Hung, S Kulkarni, BC Kuo",A new weighted fuzzy c-means clustering algorithm for remotely sensed image classification,167,2010, ieeexplore.ieee.org, IEEE Journal of selected topics …,https://ieeexplore.ieee.org/abstract/document/5658101/,10
98,"SM Javidan, A Banakar, KA Vakilian…",Diagnosis of grape leaf diseases using automatic K-means clustering and machine learning,164,2023, Elsevier, Smart agricultural …,https://www.sciencedirect.com/science/article/pii/S2772375522000466,55
56,"C Zhang, X Xiao, X Li, YJ Chen, W Zhen, J Chang…",White blood cell segmentation by color-space-based k-means clustering,163,2014, mdpi.com, Sensors,https://www.mdpi.com/1424-8220/14/9/16128,14
82,"M Kumar, M Alshehri, R AlGhamdi, P Sharma…",A de-ann inspired skin cancer detection approach using fuzzy c-means clustering,147,2020, Springer, Mobile Networks and …,https://link.springer.com/article/10.1007/s11036-020-01550-2,24
38,"ZS Younus, D Mohamad, T Saba, MH Alkawaz…",Content-based image retrieval using PSO and k-means clustering algorithm,144,2015, Springer, Arabian Journal of …,https://link.springer.com/article/10.1007/s12517-014-1584-7,13
4,"B Sowmya, BS Rani",Colour image segmentation using fuzzy clustering techniques and competitive neural network,118,2011, Elsevier, Applied Soft Computing,https://www.sciencedirect.com/science/article/pii/S1568494610003261,8
76,"VH Pham, BR Lee",An image segmentation approach for fruit defect detection using k-means clustering and graph-based algorithm,114,2015, Springer, Vietnam Journal of Computer Science,https://link.springer.com/article/10.1007/s40595-014-0028-3,10
54,"AM Anter, AE Hassenian, D Oliva",An improved fast fuzzy c-means using crow search optimization algorithm for crop identification in agricultural,106,2019, Elsevier, Expert Systems with Applications,https://www.sciencedirect.com/science/article/pii/S0957417418306511,15
81,"RS Kabade, MS Gaikwad",Segmentation of brain tumour and its area calculation in brain MR images using K-mean clustering and fuzzy C-mean algorithm,100,2013, ijcset.com, Int. J. Comput. Sci. Eng. Technol,http://ijcset.com/docs/IJCSET13-04-05-072.pdf,8
73,"R Zhang, X Li, H Zhang, F Nie",Deep fuzzy k-means with adaptive loss and entropy regularization,92,2019, ieeexplore.ieee.org, IEEE Transactions on Fuzzy …,https://ieeexplore.ieee.org/abstract/document/8859232/,13
45,"R Melli, C Grana, R Cucchiara",Comparison of color clustering algorithms for segmentation of dermatological images,89,2006, spiedigitallibrary.org, Medical Imaging 2006: Image …,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/6144/61443S/Comparison-of-color-clustering-algorithms-for-segmentation-of-dermatological-images/10.1117/12.652061.short,4
87,"R Maurya, PR Gupta, AS Shukla",Road extraction using k-means clustering and morphological operations,85,2011, ieeexplore.ieee.org, … International Conference on …,https://ieeexplore.ieee.org/abstract/document/6108839/,6
93,"N Singh, AG Mohapatra, G Kanungo",Breast cancer mass detection in mammograms using K-means and fuzzy C-means clustering,82,2011, academia.edu, International Journal of …,https://www.academia.edu/download/66846332/pxc3873507.pdf,5
84,"O Sarrafzadeh, AM Dehnavi",Nucleus and cytoplasm segmentation in microscopic images using K-means clustering and region growing,78,2015, journals.lww.com, Advanced biomedical research,https://journals.lww.com/adbm/fulltext/2015/04000/nucleus_and_cytoplasm_segmentation_in_microscopic.174.aspx,7
5,"S Basar, M Ali, G Ochoa-Ruiz, M Zareei, A Waheed…",Unsupervised color image segmentation: A case of RGB histogram based K-means clustering initialization,74,2020, journals.plos.org, Plos one,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0240015,12
96,"H Inbarani H, AT Azar",Leukemia image segmentation using a hybrid histogram-based soft covering rough k-means clustering algorithm,72,2020, mdpi.com, Electronics,https://www.mdpi.com/2079-9292/9/1/188,12
83,"SK Behera, L Jena, AK Rath…",Disease classification and grading of orange using machine learning and fuzzy logic,71,2018, ieeexplore.ieee.org, … on Communication and …,https://ieeexplore.ieee.org/abstract/document/8524415/,9
50,"XY Wang, XJ Zhang, HY Yang, J Bu",A pixel-based color image segmentation using support vector machine and fuzzy C-means,71,2012, Elsevier, Neural Networks,https://www.sciencedirect.com/science/article/pii/S0893608012001281,5
35,"S Ghaffarian, S Ghaffarian",Automatic histogram-based fuzzy C-means clustering for remote sensing imagery,70,2014, Elsevier, ISPRS Journal of Photogrammetry and …,https://www.sciencedirect.com/science/article/pii/S0924271614002056,6
28,"DM Dhane, M Maity, T Mungle, C Bar, A Achar…",Fuzzy spectral clustering for automated delineation of chronic wound region using digital images,65,2017, Elsevier, Computers in biology …,https://www.sciencedirect.com/science/article/pii/S0010482517300914,7
26,"V Kalist, P Ganesan, BS Sathish, JMM Jenitha",Possiblistic-fuzzy C-means clustering approach for the segmentation of satellite images in HSL color space,64,2015, Elsevier, Procedia Computer …,https://www.sciencedirect.com/science/article/pii/S1877050915018931,6
74,"I Khan, Z Luo, JZ Huang…",Variable weighting in fuzzy k-means clustering to determine the number of clusters,61,2019, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/8692620/,9
51,"SVN Santhosh Kumar, Y Palanichamy, M Selvi…",Energy efficient secured K means based unequal fuzzy clustering algorithm for efficient reprogramming in wireless sensor networks,61,2021, Springer, Wireless …,https://link.springer.com/article/10.1007/s11276-021-02660-9,12
69,"DE Ilea, PF Whelan",Color image segmentation using a spatial k-means clustering algorithm,60,2006, doras.dcu.ie,,https://doras.dcu.ie/4646/,3
41,"F Nie, X Zhao, R Wang, X Li, Z Li",Fuzzy K-means clustering with discriminative embedding,59,2020, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9096593/,10
62,"P Panwar, G Gopal, R Kumar",Image Segmentation using K-means clustering and Thresholding,56,2016, academia.edu, Image,https://www.academia.edu/download/54582134/IRJET-V3I5362.pdf,6
53,"P Moallem, N Razmjooy, BS Mousavi",Robust potato color image segmentation using adaptive fuzzy inference system,52,2014, ijfs.usb.ac.ir, Iranian journal of fuzzy systems,http://ijfs.usb.ac.ir/article_1748_0.html,4
42,"MK Yadav, DD Manohar, G Mukherjee…",Segmentation of chronic wound areas by clustering techniques using selected color space,50,2013, ingentaconnect.com, Journal of Medical …,https://www.ingentaconnect.com/contentone/asp/jmihi/2013/00000003/00000001/art00005,4
37,"E Rajaby, SM Ahadi, H Aghaeinia",Robust color image segmentation using fuzzy c-means with weighted hue and intensity,49,2016, Elsevier, Digital Signal Processing,https://www.sciencedirect.com/science/article/pii/S1051200416000166,5
67,"QT Bui, B Vo, V Snasel, W Pedrycz…",SFCM: a fuzzy clustering algorithm of extracting the shape information of data,46,2020, ieeexplore.ieee.org, … on Fuzzy Systems,https://ieeexplore.ieee.org/abstract/document/9160881/,8
97,"A Tellaeche, XP BurgosArtizzu, G Pajares…",A vision-based hybrid classifier for weeds detection in precision agriculture through the Bayesian and Fuzzy k-Means paradigms,45,2007, Springer, Innovations in hybrid …,https://link.springer.com/chapter/10.1007/978-3-540-74972-1_11,2
