Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year,DOI
25,"H Le Capitaine, C Frélicot",A fast fuzzy c-means algorithm for color image segmentation,40,2011, hal.science, EUSFLAT'2011,https://hal.science/hal-00738414/,3,10.5565/rev/elcvia.361
78,"S Sivarathri, A Govardhan","Experiments on hypothesis"" fuzzy k-means is better than k-means for clustering",38,2014, academia.edu, International Journal of Data Mining & …,https://www.academia.edu/download/57276758/4514ijdkp02.pdf,3,10.5121/ijdkp.2014.4502
2,"BS Shedthi, S Shetty…",Implementation and comparison of K-means and fuzzy C-means algorithms for agricultural data,38,2017, ieeexplore.ieee.org, … international conference on …,https://ieeexplore.ieee.org/abstract/document/7975168/,4,10.1109/icicct.2017.7975168
17,"MA Jaffar, N Naveed, B Ahmed…",Fuzzy c-means clustering with spatial information for color image segmentation,37,2009, ieeexplore.ieee.org, 2009 Third …,https://ieeexplore.ieee.org/abstract/document/5173186/,2,10.1109/icee.2009.5173186
65,"S Bi, Y Li, J Xu, G Liu, K Song, M Mu, H Lyu, S Miao…",Optical classification of inland waters based on an improved Fuzzy C-Means method,36,2019, opg.optica.org, Optics …,https://opg.optica.org/abstract.cfm?uri=oe-27-24-34838,5,10.1364/oe.27.034838
14,"KE Setiawan, A Kurniawan, A Chowanda…",Clustering models for hospitals in Jakarta using fuzzy c-means and k-means,36,2023, Elsevier, Procedia Computer …,https://www.sciencedirect.com/science/article/pii/S1877050922022244,12,10.1016/j.procs.2022.12.146
66,"M Xess, SA Agnes",Survey on clustering based color image segmentation and novel approaches to FCM algorithm,34,2013, Citeseer, International Journal of Research in Engineering and …,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=469224f40a035a64c7f3a7000ec7d56d4bca9603,3,10.15623/ijret.2013.0212059
98,"E Asadi, NM Charkari",Video summarization using fuzzy c-means clustering,34,2012, ieeexplore.ieee.org, 20th Iranian Conference on Electrical …,https://ieeexplore.ieee.org/abstract/document/6292442/,2,10.1109/iraniancee.2012.6292442
29,"J Malhotra, S Jha",Fuzzy c-means clustering based colour image segmentation for tool wear monitoring in micro-milling,31,2021, Elsevier, Precision Engineering,https://www.sciencedirect.com/science/article/pii/S0141635921001823,6,10.1016/j.precisioneng.2021.07.013
81,"L Feng, H Li, Y Gao, Y Zhang",A color image segmentation method based on region salient color and fuzzy c-means algorithm,31,2020, Springer, Circuits  Systems  and Signal Processing,https://link.springer.com/article/10.1007/s00034-019-01126-w,5,10.1007/s00034-019-01126-w
